Category,Subcategory,URL
Бакалія,гречка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/buckwheat/
Бакалія,манка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/semolina/
Бакалія,пшоно,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/millet/
Бакалія,рис,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/rice/
Бакалія,вермішель,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/pasta/vermicelli/
Бакалія,макарони,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/pasta/penne/
Бакалія,олія,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/oil/sunfloweroil/
Бакалія,борошно,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/flour/flour/
Бакалія,цукор,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/sugar/sugar/
Консерви,зелений горошок,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/greenpeas/
Консерви,ікра з кабачків,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/roe/
Консерви,кукурудза,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/corn/
Консерви,огірки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/cucumbers/
Консерви,оливки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/olives/olives/
Консерви,сардини,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/fish/sardines/
Консерви,шпроти,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/fish/sprats/
Молочні продукти,йогурт,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/yogurt/yogurt/
Молочні продукти,кефір,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/kefir/kefir/
Молочні продукти,маргарин,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/margarine/margarine/
Молочні продукти,масло,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/butter/butter/
Молочні продукти,молоко,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/milk/milk/
Молочні продукти,вершки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/cream/cream/
Молочні продукти,сметана,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/sourcream/sourcream/
Молочні продукти,сир плавленый,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/cheese/process/
Молочні продукти,сир твердий,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/cheese/hard/
Молочні продукти,сир кисломолочний,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/curd/curd/
М'ясні продукти,ковбаса копчена,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/sausages/sausage/
М'ясні продукти,ковбаса варена,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/sausages/boiledsausage/
М'ясні продукти,ковбаски,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/sausages/smokedsausage/
М'ясні продукти,буженина,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/delicatessen/ham/
М'ясні продукти,яловичина,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/meat/beef/
М'ясні продукти,курятина,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/meat/chicken/
М'ясні продукти,свинина,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/meat/pork/
М'ясні продукти,сало,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/salo/salo/
М'ясні продукти,сардельки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/vienna-wieners/wieners/
М'ясні продукти,сосиски,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/meat-food/vienna-wieners/vienna/
Напої,кава,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/coffee/coffee/
Напої,мінеральна вода,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/water/mineralwater/
Напої,кока-кола,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/soft-drinks/coca-cola/
Напої,сік,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/juice/juice/
Напої,вино,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/alcohol/wine/
Напої,горілка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/alcohol/vodka/
Напої,пиво,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/drinks/alcohol/beer/
Риба та морепродукти,короп,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fish-seafood/fish/carp/
Риба та морепродукти,оселедець,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fish-seafood/fish/herring/
Риба та морепродукти,скумбрія,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fish-seafood/fish/mackerel/
Соуси та спеції,майонез,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/mayonnese/mayonnese/
Соуси та спеції,приправа,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/herbs/herb/
Соуси та спеції,сіль,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/salt/salt/
Соуси та спеції,заправка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/sauces/flavoring/
Соуси та спеції,кетчуп,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/sauces/ketchup/
Соуси та спеції,маринад,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/sauces/marinade/
Соуси та спеції,томатна паста,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/sauces/tomatosauce/
Соуси та спеції,перець,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/sauces-spices/spices/pepper/
Фрукти та овочі,печериці,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/mushrooms/champignon/
Фрукти та овочі,цибуля,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/greens/onion/
Фрукти та овочі,петрушка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/greens/parsley/
Фрукти та овочі,салат,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/greens/salad/
Фрукти та овочі,кріп,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/greens/dill/
Фрукти та овочі,капуста,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/cabbage/
Фрукти та овочі,картопля,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/potato/
Фрукти та овочі,цибуля,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/onion/
Фрукти та овочі,морква,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/carrot/
Фрукти та овочі,огірки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/cucumber/
Фрукти та овочі,перець болгарський,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/bellpepper/
Фрукти та овочі,помідори,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/tomato/
Фрукти та овочі,буряк,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/beet/
Фрукти та овочі,часник,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/vegetables/garlic/
Фрукти та овочі,апельсини,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/orange/
Фрукти та овочі,банани,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/banana/
Фрукти та овочі,виноград,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/grape/
Фрукти та овочі,лимони,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/lemon/
Фрукти та овочі,мандарини,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/mandarin/
Фрукти та овочі,яблука,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/fruits/apple/
Фрукти та овочі,полуниця,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/fruits-vegetables/berries/strawberry/
Хлібо-булочні продукти,лаваш,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/bakery/lavash/lavash/
Хлібо-булочні продукти,батон,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/bakery/bread/loaves/
Хлібо-булочні продукти,хліб пшеничний,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/bakery/bread/wheat/
Хлібо-булочні продукти,хліб житній,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/bakery/bread/rye/
Яйця,яйця перепелині,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/eggs/eggs/quail/
Яйця,яйця курячі,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/eggs/eggs/chicken/
